"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","SPOTIFY_PLAYLIST_LINK","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","id_genre","id_genre_perc","genre_correct","id_decade","id_decade_perc","decade_correct","id_location","id_location_perc","freq_context_words"
"17","60s_MED_18","60s","Medium","Close Your Eyes","Vic Dana",NA,"1966","no",NA,00:01:16,00:01:46,NA,18,3.6,1.14017542509914,1,0,2.4,1.14017542509914,3.4,1.51657508881031,3,1.22474487139159,2.6,1.14017542509914,1,"Jazz",66.6666666666667,0,"1960s",60,60,"USA_Canada",60,""
"18","60s_MED_19","60s","Medium","I'm Waiting For The Man","The Velvet Underground",NA,"1967","no",NA,00:01:55,00:02:25,NA,19,3.4,0.547722557505166,1.8,1.30384048104053,1.8,0.447213595499958,3.8,1.30384048104053,3.8,1.09544511501033,3.2,0.836660026534076,1,"Pop",33.3333333333333,0,"1960s, 1970s",40,40,"Europe",80,""
"19","60s_MED_20","60s","Medium","Kyllikki","Georg Ots",NA,"1968","no",NA,00:01:50,00:02:20,NA,20,3.6,0.547722557505166,1.6,0.547722557505166,2.4,0.547722557505166,3.4,0.894427190999916,3.4,0.547722557505166,2.8,0.447213595499958,1,"Folk",50,0,"pre1960",60,20,"Europe",80,""
"20","60s_MED_21","60s","Medium","Through with You","The Lemon Pipers",NA,"1968","no",NA,00:01:14,00:01:44,NA,21,3.2,1.48323969741913,1.4,0.894427190999916,3,0.707106781186548,3.8,0.836660026534076,3.4,0.547722557505166,4,0.707106781186548,1,"Rock",42.8571428571429,0,"1980s",60,0,"Europe, USA_Canada",40,""
"21","80s_HIGH_15","80s","High","Maneater","Hall & Oates",NA,"1982","no",NA,00:00:00,00:00:30,"https://open.spotify.com/playlist/04iJHqInDcjDmNs0qCcwGJ?si=792f240937604499",15,4.4,0.547722557505166,4.2,0.836660026534076,3.2,0.447213595499958,4.2,0.836660026534076,4.2,0.836660026534076,3.4,0.547722557505166,1,"Pop",83.3333333333333,0,"1980s",100,100,"USA_Canada",60,""
"22","80s_HIGH_16","80s","High","Sometimes","Erasure",NA,"1987","yes","""oh""",00:01:51,00:02:21,NA,16,5,0,5,0,3.66666666666667,0.577350269189626,5,0,5,0,4.66666666666667,0.577350269189626,1,"Pop",60,0,"1980s",66.6666666666667,66.6666666666667,"Europe",100,""
"23","80s_HIGH_17","80s","High","Sweet Dreams (Are Made Of This)","Eurythmics",NA,"1983","no",NA,00:02:55,00:03:25,NA,17,4.5,0.577350269189626,4.75,0.5,2.75,0.5,4.25,0.5,4,0.816496580927726,4,0.816496580927726,1,"Pop",60,0,"1980s",75,75,"Europe",100,""
"24","80s_HIGH_18","80s","High","Take On Me","a-ha",NA,"1985","yes","""ba""",00:00:00,00:00:30,NA,18,5,0,4.8,0.447213595499958,3.2,1.30384048104053,4.4,0.547722557505166,4.8,0.447213595499958,4.6,0.547722557505166,1,"Pop",83.3333333333333,0,"1980s",100,100,"Europe",100,""
"25","80s_HIGH_19","80s","High","Total Eclipse of the Heart","Bonnie Tyler",NA,"1983","no",NA,00:02:10,00:02:40,NA,19,4.6,0.894427190999916,4.6,0.894427190999916,2.4,1.14017542509914,4.6,0.547722557505166,4.8,0.447213595499958,3.8,1.09544511501033,1,"Pop",60,0,"1980s",100,100,"Europe",60,""
"26","80s_HIGH_20","80s","High","Who Can It Be Now?","Men At Work",NA,"1981","yes","""yeah""",00:01:59,00:02:29,NA,20,3.4,1.14017542509914,1.8,1.30384048104053,2.4,0.547722557505166,3.2,1.09544511501033,3.8,0.836660026534076,3.6,0.547722557505166,1,"Pop",50,0,"1980s",100,100,"USA_Canada",60,""
"27","80s_HIGH_21","80s","High","You're My Heart, You're My Soul","Modern Talking",NA,"1985","no",NA,00:00:00,00:00:30,NA,21,3.6,1.14017542509914,1.6,0.894427190999916,2.4,0.894427190999916,3.6,0.894427190999916,3.6,0.547722557505166,3.4,0.547722557505166,1,"Pop, Funk, Electronic",28.5714285714286,0,"1980s",60,60,"USA_Canada",40,""
