"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","SPOTIFY_PLAYLIST_LINK","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","id_genre","id_genre_perc","genre_correct","id_decade","id_decade_perc","decade_correct","id_location","id_location_perc","freq_context_words"
"1","60s_HIGH_01","60s","High","As We Go Along","The Monkees",NA,"1968","no",NA,00:00:00,00:00:30,"https://open.spotify.com/playlist/3UNXh2phllvtbOJyPCeu5A?si=420ef53f10914c09",1,2.66666666666667,0.577350269189626,1,0,2.33333333333333,0.577350269189626,3,1,3.33333333333333,0.577350269189626,2.33333333333333,0.577350269189626,2,"Ambient",66.6666666666667,0,"1970s, 1990s, 2000s",33.3333333333333,0,"Australia, Europe, USA_Canada",33.3333333333333,""
"2","60s_HIGH_02","60s","High","Crimson and Clover","Tommy James and the Shondells",NA,"1968","yes","""-ah""",00:00:50,00:01:20,NA,2,3.5,0.577350269189626,1.25,0.5,2.5,0.577350269189626,3.25,0.5,3.25,0.5,2.75,0.5,2,"Pop, Dance, Film, Rock",25,0,"1960s",75,75,"Europe, USA_Canada",50,""
"3","60s_HIGH_03","60s","High","I'm A Man","The Spencer Davis Group",NA,"1967","no",NA,00:00:00,00:00:30,NA,3,3.4,0.547722557505166,1.6,0.894427190999916,2,1,2.6,1.14017542509914,3,1.22474487139159,3.2,0.836660026534076,2,"Pop, Rock",33.3333333333333,0,"1970s",40,20,"USA_Canada",80,""
"4","60s_HIGH_04","60s","High","It's Only Make Believe","The Hollies",NA,"1964","yes","""-eh""",00:01:36,00:02:06,NA,4,3.5,1,1.5,0.577350269189626,2.25,1.25830573921179,2.75,0.5,3,0,3,0.816496580927726,2,"Pop",50,0,"1960s",75,75,"Europe, USA_Canada",50,""
"5","60s_HIGH_05","60s","High","Someone I Know","Margo Guryan",NA,"1968","no",NA,00:01:10,00:01:40,NA,5,3.66666666666667,1.15470053837925,3.33333333333333,2.08166599946613,1.33333333333333,0.577350269189626,2.66666666666667,0.577350269189626,3,1,2.66666666666667,2.08166599946613,2,"Film, Rock, Classical, Jazz",25,0,"1960s",66.6666666666667,66.6666666666667,"Europe",66.6666666666667,""
"6","60s_HIGH_06","60s","High","Summer in the City","The Lovin' Spoonful",NA,"1966","no",NA,00:01:59,00:02:29,NA,6,3.6,1.67332005306815,3.4,1.51657508881031,3.8,0.447213595499958,3.8,0.836660026534076,3.8,0.447213595499958,4,0,2,"Pop",60,0,"1960s",60,60,"USA_Canada",80,""
"7","60s_HIGH_07","60s","High","Time of the Season","The Zombies",NA,"1968","no",NA,00:01:21,00:01:51,NA,7,2.8,1.30384048104053,1,0,3,1,2.8,0.836660026534076,3,0.707106781186548,3.4,0.547722557505166,2,"Jazz",42.8571428571429,0,"1960s, 1980s",40,40,"USA_Canada",60,""
"8","60s_LOW_09","60s","Low","Rosemary","Peppermint Rainbow",NA,"1969","no",NA,00:00:11,00:00:41,"https://open.spotify.com/playlist/2LrwGczzX6k7qwGlbMECqr?si=ee0c70bc8a434584",9,1.75,0.957427107756338,1.25,0.5,3.75,1.25830573921179,2.5,1.73205080756888,2.75,0.957427107756338,3.5,1.29099444873581,3,"Film",75,0,"1980s, 1990s, 2000s, pre1960",25,0,"USA_Canada",75,""
"9","60s_LOW_10","60s","Low","Rumpus","Floyd Cramer",NA,"1960","no",NA,00:00:00,00:00:30,NA,10,2.5,0.577350269189626,1.5,1,1.75,0.957427107756338,3,1.63299316185545,2.75,1.25830573921179,3.5,1.29099444873581,3,"Film",50,0,"1960s",75,75,"Europe",75,""
"10","60s_LOW_11","60s","Low","The Little Man From Mars","Perrey and Kingsley",NA,"1966","no",NA,00:00:00,00:00:30,NA,11,2.25,1.5,1.5,1,2.5,1.29099444873581,3.25,1.70782512765993,3.75,0.957427107756338,3.75,1.25830573921179,3,"Electronic",80,0,"1990s",50,25,"Asia",50,""
