"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","rated_genre","rated_genre_perc","genre_match","rated_decade","rated_decade_perc","decade_match","rated_location","rated_location_perc","thought_type","thought_type_perc","freq_context_words"
"123","Dance_MED_05","Dance","Medium","REACT (feat. Ella Henderson) - Don Diablo Remix","Switch Disco",NA,"2023","no",NA,00:00:00,00:00:30,5,2.4,0.894427190999916,1.2,0.447213595499958,2.2,1.30384048104053,2.8,1.30384048104053,3.6,0.894427190999916,3.8,1.6431676725155,2,"Electronic",66.6666666666667,0,"2010s",60,20,"Europe, Latin_SouthAm",40,"abstract, music",40,""
"124","Dance_MED_06","Dance","Medium","Summer Days - Radio Edit","Sean Finn",NA,"2016","yes","""-ah""",00:00:31,00:01:01,6,3.75,0.5,3.25,1.5,3.5,1.29099444873581,3.5,1.29099444873581,3,1.15470053837925,4.25,0.5,1,"Electronic",60,25,"1980s, 2000s",50,0,"USA_Canada",50,"music",100,""
"125","Dance_MED_07","Dance","Medium","Ты засадишь","EA7",NA,"2017","no",NA,00:03:08,00:03:38,7,3,1.63299316185545,1,0,1.75,0.957427107756338,4.5,0.577350269189626,4.5,0.577350269189626,4.25,0.5,3,"Electronic",57.1428571428571,50,"1980s",50,25,"USA_Canada",100,"music",75,""
"126","Electronic_HIGH_01","Electronic","High","Crimewaves","Crystal Castles, HEALTH",NA,"2008","no",NA,00:02:50,00:03:20,1,2.4,1.14017542509914,1.8,1.30384048104053,2,1.22474487139159,2.2,1.30384048104053,3,0.707106781186548,3.8,0.836660026534076,2,"VG",50,20,"2000s",40,40,"USA_Canada",80,"fictional, none",40,"video"
"127","Electronic_HIGH_02","Electronic","High","Electric Feel","MGMT",NA,"2007","no",NA,00:00:00,00:00:30,2,2.6,1.51657508881031,1,0,2.4,0.547722557505166,2.8,1.78885438199983,3.2,1.09544511501033,3.4,0.894427190999916,2,"Electronic",37.5,60,"1980s",60,20,"Asia, USA_Canada",40,"music",80,""
"128","Electronic_HIGH_03","Electronic","High","Genesis","Grimes",NA,"2012","no",NA,00:00:00,00:00:30,3,2.6,1.8165902124585,1.2,0.447213595499958,2.6,0.547722557505166,2.6,1.34164078649987,3,1.58113883008419,2.8,0.836660026534076,2,"Electronic",57.1428571428571,80,"2000s",60,0,"Asia, Europe",40,"music",80,""
"129","Electronic_HIGH_04","Electronic","High","One More Time","Daft Punk",NA,"2001","no",NA,00:01:34,00:02:04,4,3.4,0.547722557505166,1.4,0.894427190999916,1.6,0.547722557505166,3.2,0.836660026534076,3.4,0.894427190999916,3.4,1.14017542509914,3,"Pop, Dance",33.3333333333333,20,"1990s",40,20,"USA_Canada",80,"music",80,""
"130","Electronic_HIGH_05","Electronic","High","Outside","Calvin Harris, Ellie Goulding",NA,"2014","yes","""dah""",00:03:10,00:03:40,5,2.8,0.836660026534076,1.8,1.30384048104053,2,1,2.8,1.48323969741913,3,0.707106781186548,3.4,1.14017542509914,2,"VG, Electronic, Dance, Metal, HipHop",20,20,"2000s",40,0,"Australia, USA_Canada",40,"autobioMedia, everyday",40,""
"131","Electronic_HIGH_06","Electronic","High","The Other Side Of Paradise","Glass Animals",NA,"2016","yes","""oogh"", ""ha""",00:00:00,00:00:30,6,4.25,1.5,2.25,1.5,3.25,0.957427107756338,3.25,1.70782512765993,3.25,1.70782512765993,3.5,1,3,"Pop, Electronic, HipHop",28.5714285714286,25,"2000s",50,25,"USA_Canada",75,"music",100,""
"132","Electronic_HIGH_07","Electronic","High","Venus As A Boy","Björk",NA,"1993","no",NA,00:03:54,00:04:24,7,1.75,0.957427107756338,1,0,2,0.816496580927726,2.75,0.5,2.75,0.5,2.25,0.5,2,"Classical, Film, Electronic, Ambient, Funk",20,25,"2000s",50,0,"Africa",50,"music",100,""
"133","Electronic_LOW_08","Electronic","Low","El Orden del Universo","D3ndron",NA,"2009","no",NA,00:00:00,00:00:30,8,2.4,0.894427190999916,1,0,2.2,1.09544511501033,2.6,1.14017542509914,2.8,1.09544511501033,3,1,2,"Film",42.8571428571429,40,"2010s",40,20,"USA_Canada",60,"autobioMedia",80,""
"134","Electronic_LOW_09","Electronic","Low","Expansion","SUPREEMO",NA,"2021","no",NA,00:00:00,00:00:30,9,3.25,0.957427107756338,1.5,1,2.75,0.5,3.25,0.5,2.25,0.957427107756338,3.75,0.957427107756338,3,"Film, Metal",28.5714285714286,25,"2000s",50,0,"Asia",50,"music",50,""
"135","Electronic_LOW_10","Electronic","Low","Inflicted_1","coldrose",NA,"2020","no",NA,00:00:17,00:00:47,10,1.25,0.5,1,0,1.25,0.5,2,1.15470053837925,2,1.4142135623731,1.75,0.957427107756338,2,"Electronic",60,75,"1980s",50,25,"USA_Canada",75,"music",50,""
"136","Electronic_LOW_11","Electronic","Low","Memoria","Spring In A Small Town",NA,"2020","yes","""ha"", ""yah"", (bird noise)",00:02:00,00:02:30,11,1.8,0.836660026534076,1,0,2.8,0.447213595499958,2.8,0.836660026534076,3.2,0.447213595499958,3,1,2,"Ambient",40,20,"1970s",40,0,"USA_Canada",40,"autobioMedia",40,""
"137","Electronic_LOW_12","Electronic","Low","Reckless Heart","Continues",NA,"2012","no",NA,00:00:00,00:00:30,12,3.25,1.5,1,0,3,0.816496580927726,3,1.4142135623731,3.25,1.25830573921179,3,0.816496580927726,3,"Electronic",75,75,"1960s, 1990s, 2000s, 2010s",25,25,"USA_Canada",50,"abstract, autobioLife, autobioMedia, fictional, music",25,""
"138","Electronic_LOW_13","Electronic","Low","Simplicity","Macroform",NA,"2015","no",NA,00:00:00,00:00:30,13,3,1.73205080756888,2.33333333333333,2.3094010767585,3.66666666666667,0.577350269189626,3.33333333333333,0.577350269189626,3.66666666666667,0.577350269189626,3.33333333333333,1.52752523165195,3,"Film",75,0,"1970s, 2000s, 2010s",33.3333333333333,33.3333333333333,"USA_Canada",66.6666666666667,"music",100,""
"139","Electronic_LOW_14","Electronic","Low","Tape","Skip Cloud",NA,"2013","no",NA,00:00:38,00:01:08,14,2,0.707106781186548,1,0,2.2,1.30384048104053,1.2,0.447213595499958,2.2,0.836660026534076,3.8,0.836660026534076,2,"VG",50,60,"2010s",40,40,"Asia, USA_Canada",40,"music",80,"game, video"
"140","Electronic_MED_15","Electronic","Medium","A Paw In My Face","The Field",NA,"2007","no",NA,00:00:00,00:00:30,15,1.25,0.5,1,0,2,1.4142135623731,1.25,0.5,2.25,0.957427107756338,2.75,1.25830573921179,2,"Electronic, Ambient",40,50,"2020s",50,0,"USA_Canada",50,"music",75,""
"141","Electronic_MED_16","Electronic","Medium","Bodies of Water","Cosmo Sheldrake",NA,"2023","no",NA,00:00:14,00:00:44,16,3.25,0.957427107756338,1.5,1,2.25,1.25830573921179,3.75,0.957427107756338,3,0,3,0.816496580927726,3,"Film",40,25,"1970s",50,0,"USA_Canada",100,"fictional",75,""
"142","Electronic_MED_17","Electronic","Medium","Dumb Love","NEIL FRANCES",NA,"2017","yes","""ah"", ""oh""",00:02:43,00:03:13,17,2.66666666666667,0.577350269189626,1,0,2,1,2.66666666666667,1.52752523165195,3.66666666666667,0.577350269189626,4,1,2,"RnB, Rock, Dance, HipHop",25,0,"2000s",66.6666666666667,33.3333333333333,"USA_Canada",66.6666666666667,"music",66.6666666666667,""
"143","Electronic_MED_18","Electronic","Medium","Ghost Duet","Louie Zong",NA,"2017","yes","""ooo"", whistle",00:00:00,00:00:30,18,3,1.4142135623731,3,1.82574185835055,2.75,1.70782512765993,3.25,1.25830573921179,3,0.816496580927726,3,1.15470053837925,3,"Country, Film, Folk, Pop, Funk",20,0,"1980s, 2010s, 2020s, pre1960",25,25,"USA_Canada",75,"fictional",75,""
